object,source,category,mpjpe_mm,n
021_bleach_cleanser,DexYCB,power,4.43,96
010_potted_meat_can,DexYCB,power,4.68,145
holder_gray,HOT3D,wide,5.57,1085
007_tuna_fish_can,DexYCB,power,5.68,191
bottle_ranch,HOT3D,power,5.68,1446
carton_milk,HOT3D,wide,5.69,1047
can_soup,HOT3D,power,5.79,1601
002_master_chef_can,DexYCB,power,5.93,233
carton_oj,HOT3D,wide,5.96,1227
035_power_drill,DexYCB,hook,6.14,76
holder_black,HOT3D,wide,6.16,1115
can_parmesan,HOT3D,power,6.24,1483
006_mustard_bottle,DexYCB,power,6.28,162
019_pitcher_base,DexYCB,hook,6.37,110
004_sugar_box,DexYCB,wide,6.4,87
spatula_red,HOT3D,hook,6.46,2022
008_pudding_box,DexYCB,wide,6.48,121
whiteboard_eraser,HOT3D,wide,6.52,876
bottle_mustard,HOT3D,power,6.55,1089
food_vegetables,HOT3D,wide,6.6,596
005_tomato_soup_can,DexYCB,power,6.62,122
003_cracker_box,DexYCB,wide,6.71,185
061_foam_brick,DexYCB,wide,6.78,151
keyboard,HOT3D,wide,6.87,2720
040_large_marker,DexYCB,pinch,6.94,90
bowl,HOT3D,wide,7.03,4788
mouse,HOT3D,pinch,7.13,4545
bottle_bbq,HOT3D,power,7.14,1372
025_mug,DexYCB,hook,7.15,85
flask,HOT3D,power,7.34,1318
whiteboard_marker,HOT3D,pinch,7.35,62
puzzle_toy,HOT3D,wide,7.41,1036
can_tomato_sauce,HOT3D,power,7.42,1722
mug_white,HOT3D,hook,7.64,1932
plate_bamboo,HOT3D,wide,7.67,3064
dino_toy,HOT3D,power,7.79,638
dumbbell_5lb,HOT3D,power,7.81,700
037_scissors,DexYCB,pinch,7.82,231
mug_patterned,HOT3D,hook,7.84,1762
spoon_wooden,HOT3D,pinch,7.94,2210
036_wood_block,DexYCB,wide,7.96,163
potato_masher,HOT3D,hook,8.03,2623
aria_small,HOT3D,pinch,8.11,759
food_waffles,HOT3D,wide,8.16,576
009_gelatin_box,DexYCB,wide,8.18,150
011_banana,DexYCB,pinch,8.52,84
coffee_pot,HOT3D,hook,8.71,608
052_extra_large_clamp,DexYCB,power,8.88,169
birdhouse_toy,HOT3D,wide,9.22,1040
vase,HOT3D,power,9.61,1252
cellphone,HOT3D,pinch,10.07,695
024_bowl,DexYCB,wide,11.63,173
