object,source,category,mpjpe_mm,n
061_foam_brick,DexYCB,wide,6.78,1301
040_large_marker,DexYCB,pinch,6.92,673
009_gelatin_box,DexYCB,wide,7.69,1617
004_sugar_box,DexYCB,wide,7.75,1621
025_mug,DexYCB,hook,7.93,1280
035_power_drill,DexYCB,hook,7.96,1227
006_mustard_bottle,DexYCB,power,7.99,1660
005_tomato_soup_can,DexYCB,power,8.18,1401
037_scissors,DexYCB,pinch,8.32,1436
021_bleach_cleanser,DexYCB,power,8.51,1553
010_potted_meat_can,DexYCB,power,8.53,1527
007_tuna_fish_can,DexYCB,power,8.64,1517
008_pudding_box,DexYCB,wide,8.64,1287
011_banana,DexYCB,pinch,8.65,1249
003_cracker_box,DexYCB,wide,9.17,1654
052_extra_large_clamp,DexYCB,power,9.5,1494
036_wood_block,DexYCB,wide,10.0,1642
002_master_chef_can,DexYCB,power,12.9,1679
019_pitcher_base,DexYCB,hook,12.98,1636
024_bowl,DexYCB,wide,13.16,1589
