object,category,split,present_frames,contact_frames,grasp_segments,n_sequences
bowl,wide,train,49419,6208,190,27
keyboard,wide,train,45658,6155,182,27
mouse,pinch,train,45642,4648,180,27
coffee_pot,hook,train,57833,3747,133,32
dino_toy,power,train,30804,3608,61,17
potato_masher,hook,train,37742,3411,144,22
vase,power,train,53657,3346,125,31
flask,power,train,46285,3271,97,27
plate_bamboo,wide,train,55485,3211,126,31
mug_white,hook,train,55555,3137,128,33
mug_patterned,hook,train,51713,2812,120,31
spatula_red,hook,train,29156,2765,108,17
birdhouse_toy,wide,train,33892,2684,73,18
can_parmesan,power,train,39258,2296,106,21
dumbbell_5lb,power,train,32652,2220,100,18
aria_small,pinch,train,51700,2006,93,35
carton_milk,wide,train,38266,1995,88,20
whiteboard_eraser,wide,train,40443,1900,126,25
cellphone,pinch,train,45046,1857,122,31
holder_black,wide,train,46337,1829,97,29
spoon_wooden,pinch,train,33961,1825,116,19
carton_oj,wide,train,36683,1825,80,21
can_tomato_sauce,power,train,39397,1801,90,22
can_soup,power,train,37354,1673,88,22
holder_gray,wide,train,36652,1600,63,20
bottle_ranch,power,train,38207,1387,86,23
bottle_bbq,power,train,24271,1254,63,14
puzzle_toy,wide,train,49726,1088,74,29
bottle_mustard,power,train,22089,1067,59,14
dvd_remote,pinch,train,23684,878,52,16
food_waffles,wide,train,23973,811,57,15
food_vegetables,wide,train,24415,755,52,13
whiteboard_marker,pinch,train,35806,318,27,24
